best_of;p2_1stIn;p2_1stWon;p2_2ndWon;p2_SvGms;p2_ace;p2_bpFaced;p2_bpSaved;p2_df;p2_svpt;p2_age;p2_entry;p2_hand;p2_ht;p2_id;p2_ioc;p2_name;p2_rank;p2_rank_points;p2_seed;match_num;minutes;round;score;surface;tourney_date;tourney_id;tourney_level;tourney_name;p1_1stIn;p1_1stWon;p1_2ndWon;p1_SvGms;p1_ace;p1_bpFaced;p1_bpSaved;p1_df;p1_svpt;p1_age;p1_entry;p1_hand;p1_ht;p1_id;p1_ioc;p1_name;p1_rank;p1_rank_points;p1_seed;p1_won
3;50.0;43.0;12.0;12.0;20.0;7.0;6.0;7.0;79.0;29.23;;R;203.0;104731;RSA;Kevin Anderson;16.0;1955.0;12.0;4;;R64;7-6(2) 7-6(4);Hard;20150810;2015-421;M;Canada Masters;54.0;40.0;20.0;12.0;5.0;3.0;2.0;6.0;88.0;30.05;;R;196.0;104586;CZE;Lukas Rosol;63.0;777.0;;1
3;40.0;21.0;19.0;12.0;3.0;7.0;2.0;1.0;75.0;25.67;;L;190.0;105373;SVK;Martin Klizan;42.0;1060.0;;58;112.0;R64;4-6 6-0 6-3;Hard;20150312;2015-404;M;Indian Wells Masters;57.0;43.0;19.0;13.0;4.0;11.0;9.0;7.0;100.0;29.63;;R;196.0;104586;CZE;Lukas Rosol;30.0;1230.0;27.0;1
3;24.0;14.0;10.0;8.0;4.0;6.0;2.0;2.0;48.0;30.45;LL;R;190.0;105208;LAT;Ernests Gulbis;84.0;667.0;;293;74.0;R16;6-1 6-4;Hard;20190211;2019-0407;A;Rotterdam;27.0;19.0;15.0;9.0;1.0;1.0;0.0;2.0;47.0;29.12;;R;178.0;105453;JPN;Kei Nishikori;7.0;4100.0;1.0;1
3;43.0;30.0;12.0;11.0;4.0;5.0;2.0;0.0;68.0;33.29;Q;R;;104629;ESP;Adrian Menendez Maceiras;121.0;451.0;;283;88.0;R32;6-4 7-6(4);Hard;20190211;2019-0424;A;New York;49.0;35.0;11.0;11.0;14.0;5.0;3.0;1.0;67.0;22.77;Q;R;;111153;USA;Christopher Eubanks;166.0;339.0;;1
3;47.0;33.0;12.0;12.0;11.0;5.0;2.0;3.0;77.0;33.21;;L;193.0;104180;LUX;Gilles Muller;37.0;1230.0;;285;103.0;R32;7-5 7-6(3);Hard;20160725;2016-0421;M;Canada Masters;39.0;30.0;18.0;12.0;3.0;3.0;1.0;3.0;66.0;29.18;;R;188.0;104925;SRB;Novak Djokovic;1.0;15040.0;1.0;1
3;32.0;23.0;14.0;9.0;10.0;6.0;3.0;0.0;63.0;24.72;;R;;105526;GER;Jan Lennard Struff;54.0;789.0;;18;90.0;R16;7-6(6) 6-1;Hard;20150112;2015-301;A;Auckland;49.0;36.0;14.0;10.0;8.0;5.0;4.0;3.0;73.0;28.65;;R;203.0;104731;RSA;Kevin Anderson;16.0;2080.0;4.0;1
3;45.0;29.0;8.0;10.0;5.0;3.0;0.0;3.0;66.0;23.17;;R;180.0;106045;USA;Denis Kudla;68.0;746.0;;8;;R32;6-4 6-4;Hard;20151019;2015-429;A;Stockholm;35.0;29.0;9.0;10.0;1.0;1.0;0.0;1.0;46.0;31.93;;L;188.0;104269;ESP;Fernando Verdasco;44.0;1005.0;;1
5;77.0;61.0;24.0;22.0;23.0;15.0;8.0;6.0;143.0;33.19;;R;183.0;104571;CYP;Marcos Baghdatis;93.0;615.0;;190;198.0;R64;6-7(4) 6-4 6-4 6-3;Hard;20180827;2018-560;G;Us Open;68.0;52.0;32.0;20.0;10.0;9.0;6.0;8.0;132.0;24.51;;R;185.0;106298;FRA;Lucas Pouille;17.0;1915.0;17.0;1
3;77.0;50.0;10.0;15.0;0.0;8.0;5.0;0.0;96.0;27.2;;R;188.0;105053;COL;Santiago Giraldo;33.0;1165.0;6.0;17;141.0;R16;4-6 7-5 6-3;Clay;20150209;2015-533;A;Sao Paulo;63.0;42.0;17.0;16.0;4.0;9.0;4.0;3.0;100.0;32.02;;R;183.0;104122;ARG;Carlos Berlocq;75.0;670.0;;0
3;15.0;7.0;4.0;7.0;0.0;8.0;2.0;7.0;37.0;29.62;;R;185.0;105376;GER;Peter Gojowczyk;87.0;640.0;;290;62.0;R16;6-0 6-2;Hard;20190225;2019-M004;A;Acapulco;30.0;21.0;12.0;7.0;2.0;3.0;2.0;0.0;51.0;29.7;;R;183.0;105357;AUS;John Millman;44.0;1008.0;8.0;1
3;32.0;31.0;6.0;9.0;18.0;2.0;2.0;0.0;43.0;33.82;;R;206.0;104545;USA;John Isner;9.0;3225.0;2.0;286;70.0;R16;6-4 6-3;Hard;20190218;2019-0499;A;Delray Beach;42.0;28.0;15.0;10.0;4.0;9.0;6.0;4.0;71.0;31.29;;R;185.0;105041;SVK;Lukas Lacko;133.0;423.0;;0
3;56.0;34.0;23.0;15.0;3.0;8.0;4.0;7.0;94.0;28.8;Q;R;180.0;105226;HUN;Attila Balazs;174.0;313.0;;293;140.0;R16;6-4 6-7(7) 6-2;Clay;20170717;2017-0439;A;Umag;62.0;45.0;24.0;15.0;4.0;7.0;6.0;6.0;105.0;26.61;;R;163.0;105676;BEL;David Goffin;14.0;2605.0;1.0;1
5;55.0;41.0;11.0;15.0;10.0;8.0;2.0;13.0;97.0;36.93;;L;188.0;103852;ESP;Feliciano Lopez;63.0;850.0;;119;134.0;R128;6-2 7-5 6-4;Hard;20180827;2018-560;G;Us Open;61.0;47.0;17.0;15.0;8.0;12.0;10.0;9.0;93.0;34.78;;L;188.0;104269;ESP;Fernando Verdasco;32.0;1330.0;31.0;1
3;31.0;23.0;4.0;7.0;4.0;1.0;0.0;2.0;37.0;25.69;;R;;106198;BOL;Hugo Dellien;95.0;600.0;;283;61.0;R32;6-1 6-2;Clay;20190225;2019-0533;A;Sao Paulo;31.0;16.0;5.0;8.0;0.0;8.0;2.0;2.0;48.0;21.83;Q;R;;124079;ESP;Pedro Martinez Portero;170.0;325.0;;0
3;35.0;17.0;7.0;9.0;3.0;7.0;1.0;3.0;57.0;24.2;Q;L;;106281;GBR;Liam Broady;169.0;326.0;;251;69.0;R64;6-3 6-2;Hard;20180319;2018-M007;M;Miami Masters;30.0;14.0;16.0;8.0;1.0;5.0;3.0;1.0;50.0;26.06;;R;185.0;105936;SRB;Filip Krajinovic;27.0;1539.0;22.0;1
3;43.0;29.0;18.0;11.0;7.0;10.0;7.0;2.0;78.0;28.85;;R;198.0;105223;ARG;Juan Martin Del Potro;32.0;1280.0;13.0;286;109.0;R16;6-4 7-5;Hard;20170731;2017-M035;A;Washington;33.0;29.0;15.0;11.0;4.0;4.0;3.0;4.0;59.0;27.59;;R;178.0;105453;JPN;Kei Nishikori;9.0;3140.0;2.0;1
3;43.0;30.0;18.0;11.0;10.0;5.0;3.0;3.0;73.0;28.36;;R;198.0;105023;USA;Sam Querrey;61.0;785.0;;300;85.0;F;6-4 7-6(6);Hard;20160215;2016-0499;A;Delray Beach;46.0;32.0;14.0;11.0;6.0;4.0;1.0;3.0;71.0;31.91;;R;193.0;104330;USA;Rajeev Ram;89.0;622.0;;0
3;66.0;44.0;19.0;14.0;1.0;10.0;10.0;2.0;94.0;18.12;;R;;134770;NOR;Casper Ruud;217.0;247.0;;1;114.0;RR;6-3 6-1 7-5;None;20170203;2017-M-DC-2017-G2-EPA-M-NOR-LAT-01;D;Davis Cup G2 R1: NOR vs LAT;50.0;32.0;20.0;14.0;13.0;10.0;5.0;5.0;91.0;22.6;;R;;106342;LAT;Martins Podzus;860.0;18.0;;0
3;37.0;26.0;23.0;13.0;8.0;3.0;1.0;1.0;75.0;24.71;Q;R;;106006;ARG;Agustin Velotti;184.0;308.0;;275;97.0;R32;2-6 6-4 6-3;Clay;20170206;2017-7161;A;Quito;59.0;47.0;16.0;14.0;12.0;9.0;7.0;7.0;97.0;29.2;PR;R;188.0;105051;AUS;Matthew Ebden;564.0;57.0;;1
5;81.0;61.0;27.0;23.0;12.0;7.0;3.0;3.0;131.0;31.83;;R;193.0;104792;FRA;Gael Monfils;44.0;1070.0;;169;173.0;R64;3-6 6-3 7-6(5) 7-6(3);Grass;20180702;2018-540;G;Wimbledon;78.0;52.0;37.0;21.0;7.0;11.0;7.0;3.0;139.0;36.54;;R;183.0;103893;ITA;Paolo Lorenzi;86.0;668.0;;0
5;48.0;36.0;12.0;14.0;11.0;6.0;2.0;4.0;76.0;19.45;;R;;126207;USA;Francis Tiafoe;64.0;756.0;;183;93.0;R64;6-3 6-4 6-3;Grass;20170703;2017-540;G;Wimbledon;55.0;43.0;17.0;14.0;11.0;1.0;1.0;4.0;84.0;20.2;;R;198.0;100644;GER;Alexander Zverev;12.0;3070.0;10.0;1
3;49.0;35.0;12.0;11.0;3.0;6.0;5.0;2.0;71.0;32.95;;R;180.0;104229;TPE;Yen Hsun Lu;70.0;765.0;;260;92.0;R64;7-5 6-3;Hard;20160725;2016-0421;M;Canada Masters;36.0;23.0;15.0;10.0;3.0;7.0;4.0;7.0;67.0;19.26;;R;198.0;100644;GER;Alexander Zverev;25.0;1520.0;;0
3;37.0;23.0;9.0;9.0;5.0;9.0;5.0;4.0;58.0;31.49;;R;180.0;104229;TPE;Yen Hsun Lu;55.0;853.0;;12;64.0;R32;6-4 6-3;Hard;20150209;2015-402;A;Memphis;23.0;20.0;15.0;10.0;10.0;3.0;1.0;6.0;51.0;27.31;;R;;105032;AUS;Samuel Groth;70.0;703.0;;1
3;40.0;23.0;6.0;8.0;0.0;10.0;5.0;4.0;64.0;22.23;;R;;111202;KOR;Hyeon Chung;25.0;1595.0;;274;81.0;R32;6-2 6-3;Hard;20180813;2018-M024;M;Cincinnati Masters;33.0;24.0;10.0;9.0;9.0;5.0;3.0;4.0;53.0;29.89;;R;198.0;105223;ARG;Juan Martin Del Potro;3.0;5410.0;4.0;1
