iter	Passed	Remaining
902	11808	7807
903	11814	7789
904	11827	7776
905	11842	7764
906	11850	7748
907	11867	7737
908	11880	7724
909	11891	7709
910	11902	7695
911	11924	7688
912	11934	7672
913	11941	7655
914	11946	7638
915	11957	7623
916	11964	7606
917	11970	7589
918	11977	7572
919	11985	7555
920	11992	7539
921	12000	7522
922	12006	7505
923	12013	7489
924	12022	7473
925	12035	7460
926	12054	7450
927	12075	7443
928	12090	7431
929	12102	7417
930	12115	7404
931	12124	7389
932	12136	7375
933	12147	7361
934	12156	7345
935	12164	7330
936	12174	7315
937	12184	7300
938	12193	7285
939	12208	7273
940	12220	7259
941	12241	7251
942	12254	7238
943	12274	7229
944	12285	7215
945	12302	7204
946	12318	7193
947	12327	7178
948	12334	7161
949	12342	7145
950	12348	7128
951	12355	7112
952	12362	7095
953	12371	7080
954	12378	7064
955	12385	7048
956	12393	7031
957	12398	7014
958	12405	6998
959	12414	6983
960	12423	6967
961	12430	6951
962	12437	6935
963	12447	6920
964	12457	6906
965	12464	6890
966	12480	6878
967	12493	6866
968	12510	6855
969	12521	6841
970	12531	6827
971	12548	6816
972	12559	6802
973	12573	6790
974	12588	6778
975	12609	6769
976	12624	6758
977	12639	6746
978	12655	6734
979	12672	6724
980	12689	6713
981	12704	6701
982	12717	6688
983	12735	6678
984	12749	6666
985	12762	6652
986	12781	6643
987	12811	6639
988	12825	6626
989	12839	6614
990	12858	6604
991	12883	6597
992	12919	6596
993	12961	6598
994	12972	6583
995	12982	6569
996	12997	6557
997	13039	6559
998	13073	6556
999	13090	6545
1000	13137	6549
1001	13156	6538
1002	13216	6549
1003	13274	6557
1004	13319	6560
1005	13339	6550
1006	13355	6538
1007	13371	6526
1008	13387	6514
1009	13399	6500
1010	13415	6488
1011	13428	6475
1012	13441	6462
1013	13457	6449
1014	13475	6439
1015	13493	6427
1016	13514	6418
1017	13537	6409
1018	13577	6408
1019	13602	6401
1020	13620	6390
1021	13645	6382
1022	13658	6368
1023	13678	6358
1024	13713	6355
1025	13733	6344
1026	13759	6336
1027	13787	6330
1028	13804	6318
1029	13819	6305
1030	13834	6293
1031	13848	6280
1032	13865	6268
1033	13884	6257
1034	13906	6247
1035	13924	6236
1036	13950	6228
1037	13966	6216
1038	13992	6208
1039	14022	6202
1040	14045	6192
1041	14068	6183
1042	14084	6171
1043	14098	6157
1044	14120	6148
1045	14137	6136
1046	14159	6126
1047	14179	6115
1048	14201	6105
1049	14214	6091
1050	14228	6078
1051	14242	6065
1052	14256	6051
1053	14271	6039
1054	14287	6026
1055	14303	6013
1056	14323	6003
1057	14344	5992
1058	14361	5980
1059	14384	5971
1060	14404	5960
1061	14420	5947
1062	14435	5934
1063	14453	5922
1064	14467	5909
1065	14482	5896
1066	14500	5884
1067	14523	5874
1068	14541	5863
1069	14575	5857
1070	14603	5849
1071	14627	5840
1072	14645	5828
1073	14659	5814
1074	14673	5801
1075	14691	5789
1076	14707	5776
1077	14726	5764
1078	14748	5754
1079	14777	5746
1080	14812	5741
1081	14841	5733
1082	14856	5720
1083	14875	5708
1084	14893	5696
1085	14910	5684
1086	14926	5671
1087	14949	5661
1088	14978	5653
1089	15005	5644
1090	15031	5634
1091	15070	5630
1092	15101	5623
1093	15127	5614
1094	15156	5605
1095	15180	5595
1096	15199	5583
1097	15218	5571
1098	15239	5560
1099	15259	5549
1100	15274	5535
1101	15290	5522
1102	15305	5508
1103	15320	5495
1104	15343	5484
1105	15370	5475
1106	15391	5464
1107	15410	5452
1108	15438	5442
1109	15451	5428
1110	15466	5415
1111	15482	5402
1112	15498	5389
1113	15514	5375
1114	15536	5364
1115	15558	5353
1116	15622	5356
1117	15644	5345
1118	15660	5332
1119	15678	5319
1120	15694	5306
1121	15714	5294
1122	15731	5281
1123	15756	5270
1124	15778	5259
1125	15798	5247
1126	15818	5235
1127	15842	5224
1128	15856	5210
1129	15871	5196
1130	15890	5184
1131	15905	5170
1132	15917	5156
1133	15931	5142
